nct_id,title,drug_name,termination_date,termination_reason
NCT05029388,Aerobic Exercise and High-Intensity Interval Training,Unknown Drug,2024-01-31,Reason not provided
NCT04528082,Apremilast Pediatric Study in Children With Active Oral Ulcers Associated With Behçet's Disease,Apremilast,2030-12-17,Reason not provided
NCT06047262,Dapansutrile in Diabetes and Diabetes-Related Complications - Dapan-Dia,Dapansutrile,2028-07-31,Reason not provided
NCT03907046,Anticoagulation in ICH Survivors for Stroke Prevention and Recovery,Apixaban,2027-04,Reason not provided
NCT07089056,Effects of Transcranial Direct Current Stimulation After Short-term Immobilization on Motor Learning and Hand Function in Healthy Young Adults,Unknown Drug,2025-10-01,Reason not provided
NCT02034123,Investigation of GSK2879552 in Subjects With Relapsed/Refractory Small Cell Lung Carcinoma,GSK2879552,2017-04-18,The risk benefit in relapsed refractory SCLC does not favor continuation of the study
NCT06433453,Three Dimensional Ultrasonographic Detection of Human Ovulation,Indomethacin 50 MG,2025-03-31,Reason not provided
NCT06349109,Physical Activity in Children With Wolff-Parkinson-White Syndrome,Unknown Drug,2024-12-01,Reason not provided
NCT02540434,Trial of RiaSTAP Versus Cryoprecipitate to Lower Operative Transfusions,RiaSTAP,2017-12,Feasibility issues prevent completion of recruitment.
NCT06114511,"A Study of BL-M07D1 in Patients With HER2-mutated, Locally Advanced or Metastatic Non-small-cell Lung Cancer",BL-M07D1,2026-04,Reason not provided
NCT02285829,Determination of TOF Test Threshold for Obtaining Reliable Pedicle Screw Stimulation Test During Lumbar Spine Surgery,"Rocuronium Bromide, Cisatracurium Besylate",2018-01-08,Reason not provided
NCT06893237,The Effect of Virtual Reality Goggles and Distraction Cards Applied to Children Aged 6-12 Years During Inhaler Therapy on Physiological Parameters and Anxiety,Unknown Drug,2026-04,Reason not provided
NCT04482634,Tele-rehabilitation Versus Home Exercise Program in COVID-19,Unknown Drug,2022-08-01,Reason not provided
NCT05151965,Return to Sport and Functional Performance Following Surgical Intervention for Anterior Glenohumeral Instability,Unknown Drug,2026-04-01,Reason not provided
NCT06493864,A Study of BL-B16D1 in Patients With Unresectable Locally Advanced or Metastatic Breast Cancer and Other Solid Tumors,BL-B16D1,2026-07,Reason not provided
NCT00306670,Trial of Rituximab Versus Oral Cyclophosphamide to Eradicate or Suppress Autoimmune Anti-Factor VIII Antibodies in Acquired Hemophilia A,Rituxan,2011-08,Sponsor no longer funding study.
NCT00210522,An Open-Label Extension Study of the Effectiveness and Safety of the Investigational Compound RWJ-333369 in Patients With Epilepsy,RWJ 333369,2010-06,Reason not provided
NCT05202639,Decision-making Regarding the Possibility of Medical Termination of Pregnancy,Unknown Drug,2022-02-22,Reason not provided
NCT03221842,Efficacy and Safety of Human Plasma-derived C1-esterase Inhibitor as add-on to Standard of Care for the Treatment of Refractory Antibody Mediated Rejection (AMR) in Adult Renal Transplant Recipients,C1-esterase inhibitor,2021-01-20,The study was terminated early due to futility of enrolment and not for safety reasons.
NCT00871741,"Feasibility Study of GlaxoSmithKline Biologicals' GSK2202083A Vaccine in Healthy Infants at 3, 5 and 11 Months of Age.",Unknown Drug,2009-06-25,Study stopped due to non-approval of IEC to proposed change in locations. Study discontinuation not due to safety/efficacy reasons related to the vaccine.
NCT02793154,An Exploratory Study on the Effects of Repeat Doses of Albiglutide Compared to Exenatide on Gastric Myoelectrical Activity and Gastric Emptying in Type 2 Diabetes Mellitus Subjects,Exenatide,2017-03-16,Early termination due to insufficient enrollment.
NCT04434495,"Outcome of Platelet Rich Plasma in ICSI Patients, a Randomized Controlled Trial",Unknown Drug,2021-04-15,Reason not provided
NCT03405181,Effects of the Additional Weight on the Reaching Behavior of Pre Term Infants With Low Birth Weight,Unknown Drug,2018-09-15,Reason not provided
NCT07146022,Safety and Efficacy of VDPHL01 in Females With Androgenetic Alopecia (AGA),VDPHL01 QD,2028-01,Reason not provided
NCT05304377,A Phase 1a/1b Study of ELVN-001 for the Treatment Chronic Myeloid Leukemia,ELVN-001,2027-12,Reason not provided
NCT00915681,Intravenous Milk Thistle (Silibinin-Legalon) for Hepatic Failure Induced by Amatoxin/Amanita Mushroom Poisoning,Silibinin,2020-04-10,Sponsor decision
NCT00999661,A Study of Clinical Outcomes of the REALIZE Adjustable Gastric Band-C,Unknown Drug,2012-05,Reason not provided
NCT03129139,"A Phase 1, Multi-Center, Open-Label, Dose-Escalation, Safety, Pharmacokinetic, and Pharmacodynamic Study of Minnelide™ Capsules Given Alone or in Combination With Protein-Bound Paclitaxel in Patients With Advanced Solid Tumors",Minnelide™Capsules,2024-12-01,Reason not provided
NCT03506802,TCR Genetically Engineered PBMC and PBSC After Melphalan Conditioning Regimen in Treating Participants With Relapsed and Refractory Multiple Myeloma,Lenalidomide,2019-06-25,No Participants Enrolled
NCT05837442,The Effect Of Osteopathic Manual Therapy On Arterial Circulation In Patients With Peripheral Arterial Disease,Unknown Drug,2018-12-20,Reason not provided
NCT02496039,"Effectiveness, Safety, and Health-Related Outcomes of NUEDEXTA® in Nursing Home Patients With Pseudobulbar Affect (PBA)",NUEDEXTA®,2016-05,The study was terminated prematurely because of difficulty with recruiting.
NCT06380751,"Saruparib (AZD5305) Plus Camizestrant Compared With CDK4/6 Inhibitor Plus Endocrine Therapy or Plus Camizestrant in HR-Positive, HER2-Negative (IHC 0, 1+, 2+/ ISH Non-amplified), BRCA1, BRCA2, or PALB2m Advanced Breast Cancer",Saruparib (AZD5305),2030-10-18,Reason not provided
NCT00765856,Open-Label Safety and Tolerability of Oxymorphone IR and ER in Opioid Tolerant Pediatric Subjects,Oxymorphone ER,2010-02-22,Terminated new protocol developed which incorporated Pharmacokinetics
NCT07664501,The Simplified Total-body Resistance Exercise for Muscular Hypertrophy for Diabetic Population (D-STORM),Unknown Drug,2027-12-31,Reason not provided
NCT00430781,Pazopanib Plus Lapatinib Compared to Lapatinib Alone and Pazopanib Alone In Subjects With Metastatic Cervical Cancer,pazopanib (GW786034),2011-07,Reason not provided
NCT01978236,"Dabrafenib/Trametinib, BRAF or BRAF AND MEK Pre-op With BRAF and MEK Post-op, Phase IIB, Melanoma With Brain Mets,Biomarkers and Metabolites",Dabrafenib 150 mg,2017-04-26,This study was terminated due to the limited enrollment.
NCT05059444,ORACLE: Observation of ResiduAl Cancer With Liquid Biopsy Evaluation,Unknown Drug,2029-08,Reason not provided
